,TripID,VehicleID,ChargeType,Location,SoCStart,SoCEnd,dE,Pmax,t0,t1,t2,lbd
3499,2009177362,2009006260,home,618,0.5128270661252832,1.0,19.486917354988673,3.7,850.0,1135.3854549445086,3960.0,0.013553100058347901
3125,2010151750,2010005368,home,563,0.3724425272792427,1.0,25.102298908830292,3.7,850.0,1238.863002005472,1920.0,0.013553100058347901
246,2007021314,2007000746,home,29,0.6820069933333334,0.9521575066950522,10.806020534468754,3.7,850.0,1010.6828058968059,1065.0,0.013553100058347901
1659,2013078038,2013003176,home,286,0.4542121518671868,1.0,21.831513925312528,3.7,860.0,1188.590551449248,1860.0,0.013553100058347901
1978,2014187793,2014006843,home,351,0.2557636242811208,1.0,29.769455028755168,3.7,865.0,1339.8671074094932,1890.0,0.013553100058347901
1496,2014112349,2014004013,home,254,0.4125716688086233,0.6432050021419566,9.225333333333333,3.7,865.0,1224.283782204946,1035.0,0.013553100058347901
2207,2009134510,2009004742,home,388,0.21422060999999998,0.42179061000000007,8.302800000000001,3.7,867.0,1372.4884938574937,1020.0,0.013553100058347901
2064,2009004371,2009000161,home,365,0.23390180683844955,1.0,30.643927726462017,3.7,870.0,1360.981469160848,3860.0,0.013553100058347901
1578,2014186387,2014006795,home,280,0.7469777398692372,1.0,10.120890405230512,3.7,870.0,982.792820735206,2400.0,0.013553100058347901
2618,2004087832,2004002743,home,470,0.5333456791376223,0.5564090124709556,0.9225333333333334,3.7,871.0,1141.2611701688288,888.0,0.013553100058347901
2354,2015048733,2015001804,home,418,0.6727624969886979,1.0,13.089500120452083,3.7,874.0,1041.4969309665616,1865.0,0.013553100058347901
2837,2008152732,2008005359,home,517,0.5392174470021418,0.6748841136688084,5.426666666666667,3.7,880.0,1145.9330857478071,980.0,0.013553100058347901
1429,2016062635,2016002376,home,239,0.2931414866765233,1.0,28.274340532939068,3.7,880.0,1327.3158574865922,1915.0,0.013553100058347901
270,2006231114,2006008082,home,34,0.5433389578337925,0.5908222911671259,1.8993333333333335,3.7,880.0,1142.8951170758287,915.0,0.013553100058347901
2400,2007015680,2007000545,home,426,0.11899999999999997,1.0,35.24,3.7,885.0,1460.6756756756756,2010.0,0.013553100058347901
3321,2007051848,2007001787,home,583,0.25252722433333336,0.38955055766666674,5.480933333333334,3.7,887.0,1364.25266019656,988.0,0.013553100058347901
1810,2011172074,2011006434,home,323,0.6004645801098492,1.0,15.981416795606034,3.7,890.0,1110.787778788809,1750.0,0.013553100058347901
2755,2008285965,2008010073,home,494,0.24563093940522296,1.0,30.17476242379108,3.7,890.0,1372.335916900327,2205.0,0.013553100058347901
751,2009011582,2009000435,home,93,0.45547354931041895,1.0,21.781058027583242,3.7,892.0,1219.6607744640646,2050.0,0.013553100058347901
1663,2010190201,2010006806,home,286,0.5346026333333332,1.0,18.61589466666667,3.7,900.0,1169.3346683046684,3710.0,0.013553100058347901
2145,2005302101,2005010414,home,385,0.3613589398482922,1.0,25.545642406068314,3.7,900.0,1297.0327224705463,4950.0,0.013553100058347901
3640,2009109064,2009003878,home,648,0.5159395755770437,1.0,19.36241697691825,3.7,900.0,1183.091221933383,2325.0,0.013553100058347901
797,2002019235,2002000665,home,104,0.3628195404156448,0.7698195404156448,16.28,3.7,900.0,1295.9561127157408,1200.0,0.013553100058347901
2719,2010079423,2010002759,home,482,0.3506322921311186,1.0,25.974708314755258,3.7,900.0,1304.9393424094949,1890.0,0.013553100058347901
1929,2002068114,2002002557,home,337,0.11875,0.26798333333333335,5.969333333333334,3.7,910.0,1485.859950859951,1020.0,0.013553100058347901
2992,2008045362,2008001571,home,538,0.9281101474786421,1.0,2.8755941008543173,3.7,915.0,915.0,2010.0,0.013553100058347901
1904,2006276768,2006009709,home,335,0.764282095123433,1.0,9.428716195062679,3.7,915.0,1015.0377677222853,1875.0,0.013553100058347901
2742,2008155880,2008005470,home,494,0.27877791137472563,1.0,28.848883545010974,3.7,920.0,1377.9032594289492,1980.0,0.013553100058347901
842,2012061803,2012002201,home,116,0.11875,0.44435,13.024000000000001,3.7,930.0,1505.859950859951,1170.0,0.013553100058347901
2922,2008074369,2008002577,home,525,0.21306488,0.9997322936101554,31.46669654440621,3.7,930.0,1436.3403832923832,1850.0,0.013553100058347901
3487,2003002706,2003000065,home,613,0.3278109668199736,1.0,26.887561327201055,3.7,930.0,1351.7609581179554,1970.0,0.013553100058347901
2200,2005227788,2005007872,home,388,0.4386497377066532,0.9999285617999562,22.45115296373212,3.7,930.0,1270.0616183980442,1740.0,0.013553100058347901
2619,2004087834,2004002743,home,470,0.5386258054709556,1.0,18.454967781161777,3.7,932.0,1198.3691851565438,1889.0,0.013553100058347901
1541,2005105423,2005003551,home,270,0.34900245134868557,0.3815624513486856,1.3024,3.7,935.0,1341.140699251583,959.0,0.013553100058347901
2364,2012069424,2012002456,home,421,0.11875,0.32903333333333334,8.411333333333333,3.7,935.0,1510.859950859951,1090.0,0.013553100058347901
1587,2006118327,2006004019,home,282,0.27308234239908136,1.0,29.076706304036747,3.7,938.0,1400.1014675191045,2020.0,0.013553100058347901
3492,2005303135,2005010458,home,615,0.11875000000000002,1.0,35.25,3.7,940.0,1515.859950859951,3510.0,0.013553100058347901
3599,2003089728,2003002784,home,636,0.3549610991887838,1.0,25.801556032448648,3.7,940.0,1341.7485755365228,1945.0,0.013553100058347901
2603,2005222708,2005007695,home,467,0.38805819826288734,1.0,24.477672069484505,3.7,940.0,1317.352679413105,3810.0,0.013553100058347901
1996,2012291126,2012010633,home,355,0.24052170607038026,1.0,30.37913175718479,3.7,940.0,1426.1019365574593,1965.0,0.013553100058347901
2273,2008186721,2008006632,home,399,0.7504176916637367,1.0,9.983292333450532,3.7,945.0,1055.2572297318893,3615.0,0.013553100058347901
1356,2008205214,2008007263,home,226,0.11875,0.9995873068315442,35.23349227326177,3.7,945.0,1520.859950859951,1910.0,0.013553100058347901
3087,2006071262,2006002377,home,558,0.12967392501376274,0.9954956937303316,34.63287074866276,3.7,945.0,1512.807917680273,1740.0,0.013553100058347901
2675,2012254535,2012009138,home,472,0.2991708888720904,0.3398708888720904,1.6280000000000001,3.7,945.0,1387.8715806839627,975.0,0.013553100058347901
3351,2012136198,2012004781,home,586,0.11875,0.9997852924854482,35.24141169941793,3.7,949.0,1524.859950859951,1950.0,0.013553100058347901
2168,2014136113,2014004888,home,386,0.23763549,1.0,30.494580400000004,3.7,950.0,1438.2293685503685,2320.0,0.013553100058347901
3014,2008123250,2008004276,home,543,0.11875,0.20015,3.2560000000000002,3.7,950.0,1525.859950859951,1010.0,0.013553100058347901
413,2016231749,2016009015,home,45,0.9024265558206687,0.9511830968688934,1.9502616419289904,3.7,954.0,954.0,1005.0,0.013553100058347901
320,2006149499,2006005094,home,42,0.3206313269273161,1.0,27.174746922907357,3.7,955.0,1382.0530759749513,2220.0,0.013553100058347901
2652,2013049207,2013001824,home,471,0.46123263599468883,1.0,21.55069456021245,3.7,960.0,1283.4157474240624,1930.0,0.013553100058347901
2421,2009249224,2009008644,home,430,0.6720604670800714,0.7263271337467381,2.170666666666667,3.7,960.0,1128.014397729677,1000.0,0.013553100058347901
2553,2005292809,2005010088,home,456,0.11875,1.0,35.25,3.7,960.0,1535.859950859951,2400.0,0.013553100058347901
640,2013082624,2013003324,home,82,0.6851117704138909,1.0,12.595529183444363,3.7,960.0,1118.3942724221934,1860.0,0.013553100058347901
2298,2011130364,2011004822,home,409,0.11875,0.20015,3.2560000000000002,3.7,960.0,1535.859950859951,1020.0,0.013553100058347901
1570,2011275122,2011010121,home,276,0.5211283664604113,0.8670783664604113,13.838000000000001,3.7,960.0,1239.2665603485912,1215.0,0.013553100058347901
2623,2007013071,2007000446,home,471,0.31815428426851167,0.38598761760184497,2.7133333333333334,3.7,960.0,1388.878905944586,1010.0,0.013553100058347901
256,2004279502,2004009052,home,30,0.42765101071698186,1.0,22.893959571320725,3.7,960.0,1308.1687881693008,5220.0,0.013553100058347901
1415,2008240948,2008008446,home,236,0.5210690825853934,1.0,19.157236696584263,3.7,960.0,1239.310258536565,1935.0,0.013553100058347901
2886,2004135776,2004004256,home,519,0.32903916033334873,0.580022493666682,10.039333333333333,3.7,960.0,1380.8556557739444,1145.0,0.013553100058347901
2260,2004278645,2004009015,home,399,0.119,0.1597,1.6280000000000001,3.7,960.0,1535.6756756756756,990.0,0.013553100058347901
1296,2003007226,2003000217,home,202,0.119,0.2004,3.2560000000000002,3.7,960.0,1535.6756756756756,1020.0,0.013553100058347901
621,2002061160,2002002303,home,81,0.25847979132641213,0.9999964854246028,29.66066776392763,3.7,965.0,1437.8650186783202,1945.0,0.013553100058347901
2234,2016155386,2016006034,home,393,0.20441691620640912,0.2179835828730758,0.5426666666666667,3.7,965.0,1477.7148037790596,975.0,0.013553100058347901
3134,2016063332,2016002401,home,564,0.9052413319824383,1.0,3.790346720702469,3.7,965.0,965.0,1935.0,0.013553100058347901
1542,2005105425,2005003551,home,270,0.37472275634868557,1.0,25.011089746052576,3.7,966.0,1353.1822434776273,1960.0,0.013553100058347901
3276,2009101872,2009003629,home,581,0.7192158041685317,0.9087434751695241,7.581106840039697,3.7,970.0,1103.2561640035392,1110.0,0.013553100058347901
3370,2003246063,2003008057,home,592,0.4503983928345323,0.5860650595011989,5.426666666666667,3.7,970.0,1301.4016760433424,1070.0,0.013553100058347901
1,2004075665,2004002387,home,1,0.256049017364192,1.0,29.75803930543232,3.7,970.0,1444.656743957598,2010.0,0.013553100058347901
2346,2004195626,2004006275,home,415,0.23008308703385139,0.9997447597332456,30.786466907975772,3.7,975.0,1468.7962503435986,1885.0,0.013553100058347901
972,2006055045,2006001832,home,151,0.19966592122879478,0.9999840675689405,32.01272585360583,3.7,980.0,1496.2167656790211,1995.0,0.013553100058347901
2638,2004160222,2004005072,home,471,0.16861106430701128,0.31784439764034467,5.969333333333334,3.7,980.0,1519.1073236066256,1090.0,0.013553100058347901
2795,2006233846,2006008185,home,509,0.6012696461058924,1.0,15.949214155764304,3.7,990.0,1210.1943640497107,1875.0,0.013553100058347901
3069,2005234282,2005008091,home,555,0.11875,0.995909486064007,35.08637944256028,3.7,990.0,1565.859950859951,1800.0,0.013553100058347901
671,2009289833,2009010088,home,85,0.5372269264107468,0.5752135930774134,1.5194666666666667,3.7,990.0,1257.4002999429385,1018.0,0.013553100058347901
622,2006085939,2006002924,home,81,0.29715065189221757,0.3378506518922176,1.6280000000000001,3.7,990.0,1434.3606988509453,1020.0,0.013553100058347901
302,2003044907,2003001413,home,38,0.11875,1.0,35.25,3.7,990.0,1565.859950859951,7980.0,0.013553100058347901
2286,2013139865,2013005722,home,405,0.5171538351134675,1.0,19.3138465954613,3.7,995.0,1277.1961903340534,2140.0,0.013553100058347901
1074,2012018966,2012000697,home,167,0.1416100843486891,0.2704934176820225,5.155333333333334,3.7,1000.0,1559.009765836347,1095.0,0.013553100058347901
1062,2009230787,2009008049,home,165,0.551281212664767,0.6123312126647671,2.442,3.7,1000.0,1257.0408751856753,1045.0,0.013553100058347901
1619,2002079423,2002003031,home,284,0.19893010084596535,0.999798248303789,32.03472589831295,3.7,1000.0,1516.7591394255783,1945.0,0.013553100058347901
3272,2014161361,2014005876,home,580,0.3055592016006664,0.9997230961534147,27.766555782109933,3.7,1000.0,1438.1627506628995,1850.0,0.013553100058347901
2498,2015097278,2015004140,home,444,0.7266487969658321,1.0,10.934048121366718,3.7,1000.0,1127.7772995337848,1880.0,0.013553100058347901
2804,2008091929,2008003197,home,511,0.7262562616556643,1.0,10.94974953377343,3.7,1001.0,1129.0666376002475,2025.0,0.013553100058347901
826,2011138534,2011005106,home,115,0.11875,0.9973095065336647,35.14238026134659,3.7,1005.0,1580.859950859951,1845.0,0.013553100058347901
2489,2008220314,2008007758,home,443,0.25918807646231634,1.0,29.632476941507345,3.7,1005.0,1477.3429411825678,2010.0,0.013553100058347901
1626,2010171473,2010006102,home,284,0.11875,0.9974923473593694,35.14969389437478,3.7,1005.0,1580.859950859951,1850.0,0.013553100058347901
633,2011220133,2011008080,home,82,0.11875,0.99947170498993,35.2288681995972,3.7,1010.0,1585.859950859951,1960.0,0.013553100058347901
